1.010000 	 1.007091 
1.020000 	 1.014200 
1.030000 	 1.021327 
1.040000 	 1.028471 
1.050000 	 1.035630 
1.060000 	 1.042802 
1.070000 	 1.049988 
1.080000 	 1.057185 
1.090000 	 1.064392 
1.100000 	 1.071608 
1.110000 	 1.078832 
1.120000 	 1.086063 
1.130000 	 1.093300 
1.140000 	 1.100540 
1.150000 	 1.107784 
1.160000 	 1.115029 
1.170000 	 1.122275 
1.180000 	 1.129521 
1.190000 	 1.136764 
1.200000 	 1.144005 
1.210000 	 1.151242 
1.220000 	 1.158474 
1.230000 	 1.165699 
1.240000 	 1.172917 
1.250000 	 1.180127 
1.260000 	 1.187326 
1.270000 	 1.194515 
1.280000 	 1.201691 
1.290000 	 1.208855 
1.300000 	 1.216004 
1.310000 	 1.223138 
1.320000 	 1.230256 
1.330000 	 1.237356 
1.340000 	 1.244438 
1.350000 	 1.251500 
1.360000 	 1.258542 
1.370000 	 1.265562 
1.380000 	 1.272559 
1.390000 	 1.279533 
1.400000 	 1.286482 
1.410000 	 1.293406 
1.420000 	 1.300303 
1.430000 	 1.307172 
1.440000 	 1.314013 
1.450000 	 1.320825 
1.460000 	 1.327606 
1.470000 	 1.334355 
1.480000 	 1.341073 
1.490000 	 1.347758 
1.500000 	 1.354408 
1.510000 	 1.361024 
1.520000 	 1.367604 
1.530000 	 1.374148 
1.540000 	 1.380654 
1.550000 	 1.387122 
1.560000 	 1.393551 
1.570000 	 1.399941 
1.580000 	 1.406290 
1.590000 	 1.412598 
1.600000 	 1.418864 
1.610000 	 1.425087 
1.620000 	 1.431267 
1.630000 	 1.437402 
1.640000 	 1.443493 
1.650000 	 1.449539 
1.660000 	 1.455538 
1.670000 	 1.461491 
1.680000 	 1.467397 
1.690000 	 1.473254 
1.700000 	 1.479064 
1.710000 	 1.484824 
1.720000 	 1.490534 
1.730000 	 1.496194 
1.740000 	 1.501804 
1.750000 	 1.507363 
1.760000 	 1.512869 
1.770000 	 1.518324 
1.780000 	 1.523726 
1.790000 	 1.529075 
1.800000 	 1.534371 
1.810000 	 1.539613 
1.820000 	 1.544800 
1.830000 	 1.549933 
1.840000 	 1.555011 
1.850000 	 1.560034 
1.860000 	 1.565001 
1.870000 	 1.569912 
1.880000 	 1.574767 
1.890000 	 1.579565 
1.900000 	 1.584306 
1.910000 	 1.588991 
1.920000 	 1.593618 
1.930000 	 1.598188 
1.940000 	 1.602700 
1.950000 	 1.607155 
1.960000 	 1.611551 
1.970000 	 1.615890 
1.980000 	 1.620170 
1.990000 	 1.624392 
2.000000 	 1.628555 
2.010000 	 1.632660 
2.020000 	 1.636706 
2.030000 	 1.640694 
2.040000 	 1.644623 
2.050000 	 1.648493 
2.060000 	 1.652305 
2.070000 	 1.656058 
2.080000 	 1.659752 
2.090000 	 1.663388 
2.100000 	 1.666966 
2.110000 	 1.670485 
2.120000 	 1.673945 
2.130000 	 1.677348 
2.140000 	 1.680693 
2.150000 	 1.683979 
2.160000 	 1.687208 
2.170000 	 1.690379 
2.180000 	 1.693493 
2.190000 	 1.696550 
2.200000 	 1.699549 
2.210000 	 1.702492 
2.220000 	 1.705378 
2.230000 	 1.708209 
2.240000 	 1.710983 
2.250000 	 1.713701 
2.260000 	 1.716364 
2.270000 	 1.718972 
2.280000 	 1.721525 
2.290000 	 1.724024 
2.300000 	 1.726469 
2.310000 	 1.728859 
2.320000 	 1.731197 
2.330000 	 1.733482 
2.340000 	 1.735714 
2.350000 	 1.737894 
2.360000 	 1.740022 
2.370000 	 1.742099 
2.380000 	 1.744125 
2.390000 	 1.746101 
2.400000 	 1.748027 
2.410000 	 1.749903 
2.420000 	 1.751730 
2.430000 	 1.753510 
2.440000 	 1.755241 
2.450000 	 1.756924 
2.460000 	 1.758561 
2.470000 	 1.760152 
2.480000 	 1.761696 
2.490000 	 1.763196 
2.500000 	 1.764651 
2.510000 	 1.766061 
2.520000 	 1.767429 
2.530000 	 1.768753 
2.540000 	 1.770035 
2.550000 	 1.771275 
2.560000 	 1.772474 
2.570000 	 1.773633 
2.580000 	 1.774752 
2.590000 	 1.775832 
2.600000 	 1.776873 
2.610000 	 1.777876 
2.620000 	 1.778842 
2.630000 	 1.779772 
2.640000 	 1.780665 
2.650000 	 1.781523 
2.660000 	 1.782347 
2.670000 	 1.783137 
2.680000 	 1.783893 
2.690000 	 1.784617 
2.700000 	 1.785309 
2.710000 	 1.785970 
2.720000 	 1.786601 
2.730000 	 1.787202 
2.740000 	 1.787774 
2.750000 	 1.788317 
2.760000 	 1.788833 
2.770000 	 1.789323 
2.780000 	 1.789786 
2.790000 	 1.790223 
2.800000 	 1.790636 
2.810000 	 1.791025 
2.820000 	 1.791391 
2.830000 	 1.791734 
2.840000 	 1.792055 
2.850000 	 1.792355 
2.860000 	 1.792635 
2.870000 	 1.792896 
2.880000 	 1.793137 
2.890000 	 1.793360 
2.900000 	 1.793566 
2.910000 	 1.793755 
2.920000 	 1.793928 
2.930000 	 1.794086 
2.940000 	 1.794230 
2.950000 	 1.794359 
2.960000 	 1.794476 
2.970000 	 1.794580 
2.980000 	 1.794672 
2.990000 	 1.794754 
3.000000 	 1.794825 
3.010000 	 1.794887 
3.020000 	 1.794940 
3.030000 	 1.794985 
3.040000 	 1.795022 
3.050000 	 1.795052 
3.060000 	 1.795077 
3.070000 	 1.795096 
3.080000 	 1.795111 
3.090000 	 1.795121 
3.100000 	 1.795128 
3.110000 	 1.795132 
3.120000 	 1.795135 
3.130000 	 1.795136 
3.140000 	 1.795136 
3.150000 	 1.795136 
